20,100,5,61230.2,0.0381687,25.6989,74.3011
40,100,5,129751,0.165782,27.7943,72.2057
70,100,5,129354,0.148477,17.058,82.942
100,100,5,136685,0.170296,13.1661,86.8339
20,100,5,61230.2,0.0381687,25.6989,74.3011
20,200,5,93370.2,0.0546558,19.709,80.291
20,300,5,130918,0.113949,18.6092,81.3908
20,400,5,122156,0.102595,13.0992,86.9008
20,100,5,61230.2,0.0381687,25.6989,74.3011
20,100,10,50647.1,0.0118865,20.8834,79.1166
20,100,15,72128.7,0.0501315,29.7764,70.2236
20,100,20,60683.8,0.0286453,25.2777,74.7223
20,100,5,56567.4,0.0341305,23.6634,76.3366
40,100,5,94250.3,0.101255,20.8853,79.1147
70,100,5,143404,0.152186,18.0397,81.9603
100,100,5,150627,0.161988,14.3602,85.6398
20,100,5,56567.4,0.0341305,23.6634,76.3366
20,200,5,90407.1,0.0659667,19.1111,80.8889
20,300,5,108765,0.0322473,15.3477,84.6523
20,400,5,135396,0.0959821,14.331,85.669
20,100,5,56567.4,0.0341305,23.6634,76.3366
20,100,10,53357.1,0.0336827,22.1141,77.8859
20,100,15,68157.8,0.0646295,28.0708,71.9292
20,100,20,61323.6,0.015934,25.3062,74.6938
